title,year,source,authors,class,keywords,abstract,pdf_link
Invertible Denoising Network: A Light Solution for Real Noise Removal,2021,CVPR,Yang Liu;Zhenyue Qin;Saeed Anwar;Pan Ji;Dongwoo Kim;Sabrina Caldwell;Tom Gedeon,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Liu_Invertible_Denoising_Network_A_Light_Solution_for_Real_Noise_Removal_CVPR_2021_paper.pdf
Greedy Hierarchical Variational Autoencoders for Large-Scale Video Prediction,2021,CVPR,Bohan Wu;Suraj Nair;Roberto Martin-Martin;Li Fei-Fei;Chelsea Finn,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_Greedy_Hierarchical_Variational_Autoencoders_for_Large-Scale_Video_Prediction_CVPR_2021_paper.pdf
Over-the-Air Adversarial Flickering Attacks Against Video Recognition Networks,2021,CVPR,Roi Pony;Itay Naeh;Shie Mannor,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Pony_Over-the-Air_Adversarial_Flickering_Attacks_Against_Video_Recognition_Networks_CVPR_2021_paper.pdf
Encoder Fusion Network With Co-Attention Embedding for Referring Image Segmentation,2021,CVPR,Guang Feng;Zhiwei Hu;Lihe Zhang;Huchuan Lu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Feng_Encoder_Fusion_Network_With_Co-Attention_Embedding_for_Referring_Image_Segmentation_CVPR_2021_paper.pdf
Polka Lines: Learning Structured Illumination and Reconstruction for Active Stereo,2021,CVPR,Seung-Hwan Baek;Felix Heide,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Baek_Polka_Lines_Learning_Structured_Illumination_and_Reconstruction_for_Active_Stereo_CVPR_2021_paper.pdf
Image Inpainting With External-Internal Learning and Monochromic Bottleneck,2021,CVPR,Tengfei Wang;Hao Ouyang;Qifeng Chen,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_Image_Inpainting_With_External-Internal_Learning_and_Monochromic_Bottleneck_CVPR_2021_paper.pdf
Patch2Pix: Epipolar-Guided Pixel-Level Correspondences,2021,CVPR,Qunjie Zhou;Torsten Sattler;Laura Leal-Taixe,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhou_Patch2Pix_Epipolar-Guided_Pixel-Level_Correspondences_CVPR_2021_paper.pdf
Diverse Part Discovery: Occluded Person Re-Identification With Part-Aware Transformer,2021,CVPR,Yulin Li;Jianfeng He;Tianzhu Zhang;Xiang Liu;Yongdong Zhang;Feng Wu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Diverse_Part_Discovery_Occluded_Person_Re-Identification_With_Part-Aware_Transformer_CVPR_2021_paper.pdf
Counterfactual Zero-Shot and Open-Set Visual Recognition,2021,CVPR,Zhongqi Yue;Tan Wang;Qianru Sun;Xian-Sheng Hua;Hanwang Zhang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yue_Counterfactual_Zero-Shot_and_Open-Set_Visual_Recognition_CVPR_2021_paper.pdf
Person30K: A Dual-Meta Generalization Network for Person Re-Identification,2021,CVPR,Yan Bai;Jile Jiao;Wang Ce;Jun Liu;Yihang Lou;Xuetao Feng;Ling-Yu Duan,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Bai_Person30K_A_Dual-Meta_Generalization_Network_for_Person_Re-Identification_CVPR_2021_paper.pdf
Patch-NetVLAD: Multi-Scale Fusion of Locally-Global Descriptors for Place Recognition,2021,CVPR,Stephen Hausler;Sourav Garg;Ming Xu;Michael Milford;Tobias Fischer,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Hausler_Patch-NetVLAD_Multi-Scale_Fusion_of_Locally-Global_Descriptors_for_Place_Recognition_CVPR_2021_paper.pdf
Visually Informed Binaural Audio Generation without Binaural Audios,2021,CVPR,Xudong Xu;Hang Zhou;Ziwei Liu;Bo Dai;Xiaogang Wang;Dahua Lin,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Xu_Visually_Informed_Binaural_Audio_Generation_without_Binaural_Audios_CVPR_2021_paper.pdf
Dual Attention Guided Gaze Target Detection in the Wild,2021,CVPR,Yi Fang;Jiapeng Tang;Wang Shen;Wei Shen;Xiao Gu;Li Song;Guangtao Zhai,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Fang_Dual_Attention_Guided_Gaze_Target_Detection_in_the_Wild_CVPR_2021_paper.pdf
Privacy Preserving Localization and Mapping From Uncalibrated Cameras,2021,CVPR,Marcel Geppert;Viktor Larsson;Pablo Speciale;Johannes L. Schonberger;Marc Pollefeys,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Geppert_Privacy_Preserving_Localization_and_Mapping_From_Uncalibrated_Cameras_CVPR_2021_paper.pdf
Learning Calibrated Medical Image Segmentation via Multi-Rater Agreement Modeling,2021,CVPR,Wei Ji;Shuang Yu;Junde Wu;Kai Ma;Cheng Bian;Qi Bi;Jingjing Li;Hanruo Liu;Li Cheng;Yefeng Zheng,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ji_Learning_Calibrated_Medical_Image_Segmentation_via_Multi-Rater_Agreement_Modeling_CVPR_2021_paper.pdf
Points As Queries: Weakly Semi-Supervised Object Detection by Points,2021,CVPR,Liangyu Chen;Tong Yang;Xiangyu Zhang;Wei Zhang;Jian Sun,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Chen_Points_As_Queries_Weakly_Semi-Supervised_Object_Detection_by_Points_CVPR_2021_paper.pdf
Removing Diffraction Image Artifacts in Under-Display Camera via Dynamic Skip Connection Network,2021,CVPR,Ruicheng Feng;Chongyi Li;Huaijin Chen;Shuai Li;Chen Change Loy;Jinwei Gu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Feng_Removing_Diffraction_Image_Artifacts_in_Under-Display_Camera_via_Dynamic_Skip_CVPR_2021_paper.pdf
iVPF: Numerical Invertible Volume Preserving Flow for Efficient Lossless Compression,2021,CVPR,Shifeng Zhang;Chen Zhang;Ning Kang;Zhenguo Li,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_iVPF_Numerical_Invertible_Volume_Preserving_Flow_for_Efficient_Lossless_Compression_CVPR_2021_paper.pdf
Pose Recognition With Cascade Transformers,2021,CVPR,Ke Li;Shijie Wang;Xiang Zhang;Yifan Xu;Weijian Xu;Zhuowen Tu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Li_Pose_Recognition_With_Cascade_Transformers_CVPR_2021_paper.pdf
Data-Uncertainty Guided Multi-Phase Learning for Semi-Supervised Object Detection,2021,CVPR,Zhenyu Wang;Yali Li;Ye Guo;Lu Fang;Shengjin Wang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wang_Data-Uncertainty_Guided_Multi-Phase_Learning_for_Semi-Supervised_Object_Detection_CVPR_2021_paper.pdf
Prototype-Guided Saliency Feature Learning for Person Search,2021,CVPR,Hanjae Kim;Sunghun Joung;Ig-Jae Kim;Kwanghoon Sohn,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Kim_Prototype-Guided_Saliency_Feature_Learning_for_Person_Search_CVPR_2021_paper.pdf
Contrastive Learning for Compact Single Image Dehazing,2021,CVPR,Haiyan Wu;Yanyun Qu;Shaohui Lin;Jian Zhou;Ruizhi Qiao;Zhizhong Zhang;Yuan Xie;Lizhuang Ma,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Wu_Contrastive_Learning_for_Compact_Single_Image_Dehazing_CVPR_2021_paper.pdf
