title,year,source,authors,class,keywords,abstract,pdf_link
$\alpha$-VAEs : Optimising variational inference by learning data-dependent divergence skew,2021,ICML,"['Jacob Deasy', 'Tom Andrew McIver', 'Nikola Simidjievski', 'Pietro Lio']",poster,"['variational inference', 'variational autoencoders', 'constrained optimisation', 'lossy compression']"," The {\em skew-geometric Jensen-Shannon divergence} $\left(\textrm{JS}^{\textrm{G}_{\alpha}}\right)$ allows for an intuitive interpolation between forward and reverse Kullback-Leibler (KL) divergence based on the skew parameter $\alpha$. While the benefits of the skew in $\textrm{JS}^{\textrm{G}_{\alpha}}$ are clear---balancing forward/reverse KL in a comprehensible manner---the choice of optimal skew remains opaque and requires an expensive grid search. In this paper we introduce $\alpha$-VAEs, which extend the $\textrm{JS}^{\textrm{G}_{\alpha}}$ variational autoencoder by allowing for learnable, and therefore data-dependent, skew. We motivate the use of a parameterised skew in the dual divergence by analysing trends dependent on data complexity in synthetic examples. We also prove and discuss the dependency of the divergence minimum on the input data and encoder parameters, before empirically demonstrating that this dependency does not reduce to either direction of KL divergence for benchmark datasets. Finally, we demonstrate that optimised skew values consistently converge across a range of initial values and provide improved denoising and reconstruction properties. These render $\alpha$-VAEs an efficient and practical modelling choice across a range of tasks, datasets, and domains.",https://api.openreview.net/pdf/9cca0f9730a6c965eccb505c33d224dfc2ba1f3d.pdf
Diffusion Priors In Variational Autoencoders,2021,ICML,"['Antoine Wehenkel', 'Gilles Louppe']",poster,"['Diffusion models', 'VAE', 'autoencoder', 'variational inference', 'likelihood based models', 'prior modelling.']","Among likelihood-based approaches for deep generative modelling, variational autoencoders (VAEs) offer scalable amortized posterior inference and fast sampling. However, VAEs are also more and more outperformed by competing models such as normalizing flows (NFs), deep-energy models, or the new denoising diffusion probabilistic models (DDPMs). In this preliminary work, we improve VAEs by demonstrating how DDPMs can be used for modelling the prior distribution of the latent variables. The diffusion prior model improves upon Gaussian priors of classical VAEs and is competitive with NF-based priors. Finally, we hypothesize that hierarchical VAEs could similarly benefit from the enhanced capacity of diffusion priors.",https://api.openreview.net/pdf/70738d10fa99d506b0cfbf46d30478dc1126099c.pdf
Challenges for BBVI with Normalizing Flows,2021,ICML,"['Akash Kumar Dhaka', 'Alejandro Catalina', 'Manushi Welandawe', 'Michael Riis Andersen', 'Jonathan H. Huggins', 'Aki Vehtari']",poster,"['BBVI', 'Variational Inference', 'Importance Sampling', 'Normalizing Flows', 'Pre-asymptotics', 'Stochastic Optimisation']","Current black-box variational inference (BBVI) methods require the user to make numerous design choices---such as the selection of variational objective and approximating family---yet there is little principled guidance on how to do so. We develop a conceptual framework and set of experimental tools to understand the effects of these choices, which we leverage to propose best practices for maximizing posterior approximation accuracy. Our approach is based on studying the pre-asymptotic tail behavior of the density ratios between the joint distribution and the variational approximation, then exploiting insights and tools from the importance sampling literature. We focus on normalizing flow models and give recommendations on how to be used(and diagnostics) in BBVI, though we are not limited to them.",https://api.openreview.net/pdf/22189c22daa3670a13b9261eb7f3a58d44313a6a.pdf
Beyond In-Place Corruption: Insertion and Deletion In Denoising Probabilistic Models,2021,ICML,"['Daniel D. Johnson', 'Jacob Austin', 'Rianne van den Berg', 'Daniel Tarlow']",poster,"['Diffusion', 'Masking', 'Sequence', 'Structure', 'Machine Learning']","Denoising diffusion probabilistic models (DDPMs) have shown impressive results on sequence generation by iteratively corrupting each example and then learning to map corrupted versions back to the original. However, previous work has largely focused on in-place corruption, adding noise to each pixel or token individually while keeping their locations the same. In this work, we consider a broader class of corruption processes and denoising models over sequence data that can insert and delete elements, while still being efficient to train and sample from. We demonstrate that these models outperform standard in-place models on an arithmetic sequence task, and that when trained on the text8 dataset they can be used to fix spelling errors without any fine-tuning.",https://api.openreview.net/pdf/650b60e5ea033d47ff50059103d6402294bf5a1d.pdf
RAD-TTS: Parallel Flow-Based TTS with Robust Alignment Learning and Diverse Synthesis,2021,ICML,"['Kevin J. Shih', 'Rafael Valle', 'Rohan Badlani', 'Adrian Lancucki', 'Wei Ping', 'Bryan Catanzaro']",poster,"['text to speech', 'audio synthesis', 'TTS', 'normalizing flows']","This work introduces a predominantly parallel, end-to-end TTS model based on normalizing flows.
 It extends prior parallel approaches by additionally modeling speech rhythm as a separate generative distribution to facilitate variable token duration during inference. We further propose a robust framework for the on-line extraction of speech-text alignments -- a critical yet highly unstable learning problem in end-to-end TTS frameworks. Our experiments demonstrate that our proposed techniques yield improved alignment quality, better output diversity compared to controlled baselines.",https://api.openreview.net/pdf/ad9861f3176e1b1c5a7c7554ef9e2fbf3243a198.pdf
Improving Continuous Normalizing Flows using a Multi-Resolution Framework,2021,ICML,"['Vikram Voleti', 'Chris Finlay', 'Adam M Oberman', 'Christopher Pal']",poster,"['generative models', 'continuous normalizing flows']","Recent work has shown that Continuous Normalizing Flows (CNFs) can serve as generative models of images with exact likelihood calculation and invertible generation/density estimation. In this work we introduce a Multi-Resolution variant of such models (MRCNF). We introduce a transformation between resolutions that allows for no change in the log likelihood. We show that this approach yields comparable likelihood values for various image datasets, with improved performance at higher resolutions, with fewer parameters, using only 1 GPU.",https://api.openreview.net/pdf/bc0b32810379947c649b4690b80d5366756b68ae.pdf
Equivariant Manifold Flows,2021,ICML,"['Isay Katsman', 'Aaron Lou', 'Derek Lim', 'Qingxuan Jiang', 'Ser-Nam Lim', 'Christopher De Sa']",poster,"['manifold', 'normalizing flow', 'equivariant', 'invariant']","Tractably modelling distributions over manifolds has long been an important goal in the natural sciences. Recent work has focused on developing general machine learning models to learn such distributions. However, for many applications these distributions must respect manifold symmetries---a trait which most previous models disregard. In this paper, we lay the theoretical foundations for learning symmetry-invariant distributions on arbitrary manifolds via equivariant manifold flows. We demonstrate the utility of our approach by using it to learn gauge invariant densities over SU(n) in the context of quantum field theory.",https://api.openreview.net/pdf/d9a7b4893d80e0d5bdd26b0032eda2f3cf9a41de.pdf
Agent Forecasting at Flexible Horizons using ODE Flows,2021,ICML,"['Alexander Radovic', 'Jiawei He', 'Janahan Ramanan', 'Marcus A Brubaker', 'Andreas Lehrmann']",poster,"['conditional normalizing flows', 'neural odes', 'time series forecasting', 'agent forecasting']","In this work we describe OMEN, a neural ODE based normalizing flow for the prediction of marginal distributions at flexible evaluation horizons, and apply it to agent position forecasting.
 OMEN's architecture embeds an assumption that marginal distributions of a given agent moving forward in time are related, allowing for an efficient representation of marginal distributions through time and allowing for reliable interpolation between prediction horizons seen in training.
 Experiments on a popular agent forecasting dataset demonstrate significant improvements over most baseline approaches, and comparable performance to the state of the art while providing the new functionality of reliable interpolation of predicted marginal distributions between prediction horizons as demonstrated with synthetic data.",https://api.openreview.net/pdf/25971ce38e24dfe18d04b8472335f90dd9f91d2e.pdf
The Effects of Invertibility on the Representational Complexity of Encoders in Variational Autoencoders,2021,ICML,"['Andrej Risteski', 'Divyansh Pareek']",poster,"['invertibility', 'variational autoencoders', 'encoder', 'representational complexity', 'Langevin']","Training and using modern neural-network based latent-variable generative models (like Variational Autoencoders) often require simultaneously training a generative direction along with an inferential (encoding) direction, which approximates the posterior distribution over the latent variables. Thus, the question arises: how complex does the inferential model need to be, in order to be able to accurately model the posterior distribution of a given generative model?  In this paper, we identify an important property of the generative map impacting the required size of the encoder. We show that if the generative map is ``strongly invertible"" (in a sense we suitably formalize), the inferential model need not be much more complex. Conversely, we prove that there exist non-invertible generative maps, for which the encoding direction needs to be exponentially larger (under standard assumptions in computational complexity). Importantly, we do not require the generative model to be layerwise invertible, which a lot of the related literature assumes and isn't satisfied by many architectures used in practice (e.g. convolution and pooling based networks). Thus, we provide theoretical support for the empirical wisdom that learning deep generative models is harder when data lies on a low-dimensional manifold.",https://api.openreview.net/pdf/56adb8cfd7168a71d8c4d318a2a4a3ec18e5dff8.pdf
Discrete Tree Flows via Tree-Structured Permutations,2021,ICML,"['Mai Elkady', 'Jim Lim', 'David I. Inouye']",poster,"['Discrete Normalizing Flows', 'Discrete Data', 'Normalizing flows', 'Decision Tree Algorithms']","While normalizing flows for continuous data have been extensively researched, flows for discrete data have only recently been explored. These prior models, however, suffer from limitations that are distinct from those of continuous flows. Most notably, discrete flow-based models cannot be straightforwardly optimized with conventional deep learning methods because gradients of discrete functions are undefined or zero, and backpropagation can be computationally burdensome compared to alternative discrete algorithms such as decision tree algorithms.  Previous works approximate pseudo-gradients of the discrete functions but do not solve the problem on a fundamental level. Our approach seeks to reduce computational burden and remove the need for pseudo-gradients by developing a discrete flow based on decision trees---building upon the success of efficient tree-based methods for classification and regression for discrete data. We first define a tree-structured permutation (TSP) that compactly encodes a permutation of discrete data where the inverse is easy to compute; thus, we can efficiently compute the density value and sample new data.  We then propose a decision tree algorithm to learn TSPs that estimates the tree structure and simple permutations at each node via a novel criteria. We empirically demonstrate the feasibility of our method on multiple datasets.",https://api.openreview.net/pdf/1884172d8486faa2a649d99369cb988a3a8ed018.pdf
