Title,Year,Source,Authors,Class
Training a Resilient Q-Network against Observational Interference,2022,AAAI,"Chao-Han Huck Yang, I-Te Danny Hung, Yi Ouyang, Pin-Yu Chen",MAIN TRACK
DeepAuth: A DNN Authentication Framework by Model-Unique and Fragile Signature Embedding,2022,AAAI,"Yingjie Lao, Weijie Zhao, Peng Yang, Ping Li",MAIN TRACK
Hyperbolic Disentangled Representation for Fine-Grained Aspect Extraction,2022,AAAI,"Chang-You Tai, Ming-Yao Li, Lun-Wei Ku",MAIN TRACK
SAIL: Self-Augmented Graph Contrastive Learning,2022,AAAI,"Lu Yu, Shichao Pei, Lizhong Ding, Jun Zhou, Longfei Li, Chuxu Zhang, Xiangliang Zhang",MAIN TRACK
Inference and Learning with Model Uncertainty in Probabilistic Logic Programs,2022,AAAI,"Victor Verreet, Vincent Derkinderen, Pedro Zuidberg Dos Martires, Luc De Raedt",MAIN TRACK
Reliable Inlier Evaluation for Unsupervised Point Cloud Registration,2022,AAAI,"Yaqi Shen, Le Hui, Haobo Jiang, Jin Xie, Jian Yang",MAIN TRACK
Team Correlated Equilibria in Zero-Sum Extensive-Form Games via Tree Decompositions,2022,AAAI,"Brian Hu Zhang, Tuomas Sandholm",MAIN TRACK
Linking Transformer to Hawkes Process for Information Cascade Prediction (Student Abstract),2022,AAAI,"Liu Yu, Xovee Xu, Ting Zhong, Goce Trajcevski, Fan Zhou",STUDENT ABSTRACT AND POSTER PROGRAM
Siamese Network with Interactive Transformer for Video Object Segmentation,2022,AAAI,"Meng Lan, Jing Zhang, Fengxiang He, Lefei Zhang",MAIN TRACK
NoiseGrad — Enhancing Explanationsby Introducing Stochasticity to Model Weights,2022,AAAI,"Kirill Bykov, Anna Hedström, Shinichi Nakajima, Marina M.-C. Höhne",MAIN TRACK
Curiosity-Driven Exploration via Latent Bayesian Surprise,2022,AAAI,"Pietro Mazzaglia, Ozan Catal, Tim Verbelen, Bart Dhoedt",MAIN TRACK
Mitigating Reporting Bias in Semi-Supervised Temporal Commonsense Inference with Probabilistic Soft Logic,2022,AAAI,"Bibo Cai, Xiao Ding, Bowen Chen, Li Du, Ting Liu",MAIN TRACK
Feature Generation and Hypothesis Verification for Reliable Face Anti-Spoofing,2022,AAAI,"Shice Liu, Shitao Lu, Hongyi Xu, Jing Yang, Shouhong Ding, Lizhuang Ma",MAIN TRACK
Intelligent Online Selling Point Extraction for E-commerce Recommendation,2022,AAAI,"Xiaojie Guo, Shugen Wang, Hanqing Zhao, Shiliang Diao, Jiajia Chen, Zhuoye Ding, Zhen He, , Yun Xiao, Bo Long, Han Yu, Lingfei Wu",STUDENT ABSTRACT AND POSTER PROGRAM
Paving the Way for Novices: How to Teach AI for K-12 Education in China,2022,AAAI,"Jiachen Song, Linan Zhang, Jinglei Yu, , Anyao Ma, Yu Lu",STUDENT ABSTRACT AND POSTER PROGRAM
PrivateSNN: Privacy-Preserving Spiking Neural Networks,2022,AAAI,"Youngeun Kim, Yeshwanth Venkatesha, Priyadarshini Panda",MAIN TRACK
Introducing Variational Autoencoders to High School Students,2022,AAAI,"Zhuoyue Lyu, Safinah Ali, Cynthia Breazeal",MAIN TRACK
KAM Theory Meets Statistical Learning Theory: Hamiltonian Neural Networks with Non-Zero Training Loss,2022,AAAI,"Yuhan Chen, Takashi Matsubara, Takaharu Yaguchi",MAIN TRACK
Operator-Potential Heuristics for Symbolic Search,2022,AAAI,"Daniel Fišer, Alvaro Torralba, Joerg Hoffmann",MAIN TRACK
FedSoft: Soft Clustered Federated Learning with Proximal Local Updating,2022,AAAI,"Yichen Ruan, Carlee Joe-Wong",MAIN TRACK
Co-Promotion Predictions of Financing Market and Sales Market: A Cooperative-Competitive Attention Approach,2022,AAAI,"Lei Zhang, Xiang Wang, Chuang Zhao, Hongke Zhao, Rui Li, Runze Wu",MAIN TRACK
Robust Action Gap Increasing with Clipped Advantage Learning,2022,AAAI,"Zhe Zhang, Yaozhong Gan, Xiaoyang Tan",MAIN TRACK
An End-to-End Traditional Chinese Medicine Constitution Assessment System Based on Multimodal Clinical Feature Representation and Fusion,2022,AAAI,"Huisheng Mao, Baozheng Zhang, Hua Xu, Kai Gao",DEMONSTRATIONS
