Title,Year,Source,Authors,Class,topic
Domino: Discovering Systematic Errors with Cross-Modal Embeddings,2022,ICLR,"Sabri Eyuboglu, Maya Varma, Khaled Kamal Saab, Jean-Benoit Delbrouck, Christopher Lee-Messer, Jared Dunnmon, James Zou, Christopher Re",oral,
Natural Language Descriptions of Deep Visual Features,2022,ICLR,"Evan Hernandez, Sarah Schwettmann, David Bau, Teona Bagashvili, Antonio Torralba, Jacob Andreas",oral,
Non-Transferable Learning: A New Approach for Model Ownership Verification and Applicability Authorization,2022,ICLR,"Lixu Wang, Shichao Xu, Ruiqi Xu, Xiao Wang, Qi Zhu",oral,transfer learning
Neural Structured Prediction for Inductive Node Classification,2022,ICLR,"Meng Qu, Huiyu Cai, Jian Tang",oral,
"A New Perspective on ""How Graph Neural Networks Go Beyond Weisfeiler-Lehman?""",2022,ICLR,"Asiri Wijesinghe, Qing Wang",oral,graph
Minibatch vs Local SGD with Shuffling: Tight Convergence Bounds and Beyond,2022,ICLR,"Chulhee Yun, Shashank Rajput, Suvrit Sra",oral,
The Hidden Convex Optimization Landscape of Regularized Two-Layer ReLU Networks: an Exact Characterization of Optimal Solutions,2022,ICLR,"Yifei Wang, Jonathan Lacotte, Mert Pilanci",oral,optimization
Provably Filtering Exogenous Distractors using Multistep Inverse Dynamics,2022,ICLR,"Yonathan Efroni, Dipendra Misra, Akshay Krishnamurthy, Alekh Agarwal, John Langford",oral,
Bootstrapped Meta-Learning,2022,ICLR,"Sebastian Flennerhag, Yannick Schroecker, Tom Zahavy, Hado van Hasselt, David Silver, Satinder Singh",oral,meta-learning
Coordination Among Neural Modules Through a Shared Global Workspace,2022,ICLR,"Anirudh Goyal, Aniket Rajiv Didolkar, Alex Lamb, Kartikeya Badola, Nan Rosemary Ke, Nasim Rahaman, Jonathan Binas, Charles Blundell, Michael Curtis Mozer, Yoshua Bengio",oral,
Data-Efficient Graph Grammar Learning for Molecular Generation,2022,ICLR,"Minghao Guo, Veronika Thost, Beichen Li, Payel Das, Jie Chen, Wojciech Matusik",oral,graph/generative model
Poisoning and Backdooring Contrastive Learning,2022,ICLR,"Nicholas Carlini, Andreas Terzis",oral,contrastive learning
Neural Collapse Under MSE Loss: Proximity to and Dynamics on the Central Path,2022,ICLR,"X.Y. Han, Vardan Papyan, David L. Donoho",oral,
Weighted Training for Cross-Task Learning,2022,ICLR,"Shuxiao Chen, Koby Crammer, Hangfeng He, Dan Roth, Weijie J Su",oral,
iLQR-VAE : control-based learning of input-driven dynamics with applications to neural data,2022,ICLR,"Marine Schimel, Ta-Chu Kao, Kristopher T Jensen, Guillaume Hennequin",oral,
