,Title,Year,Source,Authors,Class,topic
0,Building NLP for African Languages,2022,ICML,Salomey Osei · Bonaventure F. P. Dossou,Registration Desk,
1,TorchRL: the PyTorch RL Domain library,2022,ICML,Chloe Rolland,Expo Demonstration,
2,AEPsych: active learning for human perception and preferences,2022,ICML,Chloe Rolland,Expo Talk Panel,active learning
3,Challenges Of Applying Graph Neural Networks,2022,ICML,Bryan Perozzi · Vahab Mirrokni,Expo Talk Panel,graph
4,Enabling Hand Gesture Customization on Wrist-Worn Devices,2022,ICML,Gierad Laput · Kai Killian,Expo Workshop,
5,Real World RL with Vowpal Wabbit and Azure Personalizer,2022,ICML,Alexey Taymanov,Expo Talk Panel,
6,Knowledge graph-based recommendation framework identifies drivers of resistance in EGFR mutant non-small cell lung cancer,2022,ICML,Dimitris Polychronopoulos · Anna Gogleva,Expo Demonstration,graph
7,"Creating a scalable, reproducible, and reliable environment for model development with AstraZeneca and W&B.",2022,ICML,Karan Nisar · Andrew Truong · Kyle Woestmann,Expo Demonstration,
9,Amazon SageMaker Model Parallelism: A General and Flexible Framework for Large Model Training,2022,ICML,Lauren Contreras,Coffee Break,
10,Expo Talk Panel,2022,ICML,Mihaela van der Schaar · Jian Tang · A Martin Jones · Sébastien Lemieux · Thomas Watson,Expo Demonstration,
11,Machine learning for drug discovery: Challenges and opportunities,2022,ICML,Lauren Contreras,Expo Talk Panel,
12,Robust and Fast Detection of Toxic Speech Content via Machine Learning,2022,ICML,Dino Oglic,Opening Reception - Catered,
13,Towards Robust Waveform-Based Acoustic Models,2022,ICML,Affinity Workshop,,
14,Opening Reception,2022,ICML,Alice Lacan · Mélina Verger,Tutorial,
15,New In Machine Learning (NewInML),2022,ICML,Nan Rosemary Ke · Stefan Bauer,Tutorial,
16,"Causality and Deep Learning: Synergies, Challenges and the Future",2022,ICML,Stefan Riezler · Michael Hagmann,Tutorial,
17,"Validity, Reliability, and Significance: A Tutorial on Statistical Methods for Reproducible Machine Learning",2022,ICML,Chuan Guo · Reza Shokri,Coffee Break,
18,Quantitative Reasoning About Data Privacy in Machine Learning,2022,ICML,,,
19,Social,2022,ICML,Hunar Batra · Kelsey Doerksen · Nele Quast,Lunch Break,
20,Oxford Wom*n in Computer Science: Highlighting Wom*n Researchers in ML,2022,ICML,,,
22,How to Negotiate Industry Offers in AI,2022,ICML,Dylan Foster · Alexander Rakhlin,Tutorial,
23,Bridging Learning and Decision Making,2022,ICML,Priya Donti · David Rolnick · Lynn Kaack,Tutorial,
24,"Climate Change and Machine Learning: Opportunities, Challenges, and Considerations",2022,ICML,Dorsa Sadigh · Anca Dragan,Social,
25,Learning for Interactive Agents,2022,ICML,Jayeeta Putatunda,Coffee Break,reinforcement learning/active learning
26,It’s all about Transformers!,2022,ICML,,,transformer
27,Tutorial,2022,ICML,Hao Zhang · Lianmin Zheng · Zhuohan Li · Ion Stoica,Tutorial,
28,"Welcome to the ""Big Model"" Era: Techniques and Systems to Train and Serve Bigger Models",2022,ICML,Elias Bareinboim · Drago Plecko,Tutorial,
29,Causal Fairness Analysis,2022,ICML,Anna Korba · Adil Salim,Social,
30,Sampling as First-Order Optimization over a space of probability measures,2022,ICML,Yi Wan · Alex Ayoub,Social,optimization
31,Designing an RL system toward AGI,2022,ICML,Adam Cobb,Break,
32,Quantum ML,2022,ICML,Remarks,,
33,Breakfast on your own,2022,ICML,Invited Talk,,
34,Welcome by Chairs,2022,ICML,Weinan E,Coffee Break,
35,Towards a Mathematical Theory of Machine Learning,2022,ICML,,,
36,Oral,2022,ICML,In Session 1 Track 4,Florian Tramer,
37,Detecting Adversarial Examples Is (Nearly) As Hard As Classifying Them,2022,ICML,In Probabilistic Methods/Applications,Trung Trinh · Markus Heinonen · Luigi Acerbi · Samuel Kaski,
38,Tackling covariate shift with node-based Bayesian neural networks,2022,ICML,In Theory: Online Learning/Bandits,Evangelia Gergatsouli · Christos Tzamos,bayesian
39,Online Learning for Min Sum Set Cover and Pandora’s Box,2022,ICML,In Optimization: Convex,Jisun Park · Ernest Ryu,online learning
40,Exact Optimal Accelerated Complexity for Fixed-Point Iterations,2022,ICML,Session,,
41,Social Aspects,2022,ICML,Session,,
42,Probabilistic Methods/Applications,2022,ICML,Session,,
43,Reinforcement Learning,2022,ICML,Session,,reinforcement learning
44,Deep Learning: Robustness,2022,ICML,Session,,
45,"APP: Language, Speech and Dialog",2022,ICML,Session,,
46,Optimization: Convex,2022,ICML,Session,,optimization
47,Theory: Online Learning/Bandits,2022,ICML,Session,,online learning
48,Transfer/Multitask/Meta Learning,2022,ICML,Session,,meta-learning/transfer learning
49,Deep Learning,2022,ICML,Spotlight,,
50,Deep Learning: Generative Models/Autoencoders,2022,ICML,In Social Aspects,Haim Kaplan · Shachar Schnapp · Uri Stemmer,generative model
51,Differentially Private Approximate Quantiles,2022,ICML,In Session 1 Track 10,Yuanbang Liang · Jing Wu · Yu-Kun Lai · Yipeng Qin,
52,Exploring and Exploiting Hubness Priors for High-Quality GAN Latent Sampling,2022,ICML,"In APP: Language, Speech and Dialog",Haiteng Zhao · Chang Ma · Xinshuai Dong · Anh Tuan Luu · Zhi-Hong Deng · Hanwang Zhang,
53,Certified Robustness Against Natural Language Attacks by Causal Intervention,2022,ICML,In Deep Learning,Junran Wu · Xueyuan Chen · Ke Xu · Shangzhe Li,
54,Structural Entropy Guided Graph Hierarchical Pooling,2022,ICML,In Session 1 Track 8,Aviv Navon · Aviv Shamsian · Idan Achituve · Haggai Maron · Kenji Kawaguchi · Gal Chechik · Ethan Fetaya,graph
55,Multi-Task Learning as a Bargaining Game,2022,ICML,In Reinforcement Learning,Peng Zhao · Long-Fei Li · Zhi-Hua Zhou,multi-task
56,Dynamic Regret of Online Markov Decision Processes,2022,ICML,3,T: Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing,online learning
57,A,2022,ICML,In Session 1 Track 10,Chenlin Meng · Linqi Zhou · Kristy Choi · Tri Dao · Stefano Ermon,
58,ButterflyFlow: Building Invertible Layers with Butterfly Matrices,2022,ICML,In Social Aspects,Xueru Zhang · Mohammad Mahdi Khalili · Kun Jin · Parinaz Naghizadeh · Mingyan Liu,zero_few-shot/flow
59,Fairness Interventions as (Dis)Incentives for Strategic Manipulation,2022,ICML,In Deep Learning,Yaochen Xie · Zhao Xu · Shuiwang Ji,
60,Self-Supervised Representation Learning via Latent Graph Prediction,2022,ICML,In Session 1 Track 3,Robert Loftin · Frans Oliehoek,graph/zero_few-shot/representation
61,On the Impossibility of Learning to Cooperate with Adaptive Partner Strategies in Repeated Games,2022,ICML,In Transfer/Multitask/Meta Learning,Long-Kai Huang · Junzhou Huang · Yu Rong · Qiang Yang · Ying WEI,adaptive
62,Frustratingly Easy Transferability Estimation,2022,ICML,In Social Aspects,Zifan Wang · Matt Fredrikson · Anupam Datta,transfer learning
63,Robust Models Are More Interpretable Because Attributions Look Normal,2022,ICML,In Session 1 Track 3,Harley Wiltzer · David Meger · Marc Bellemare,
64,Distributional Hamilton-Jacobi-Bellman Equations for Continuous-Time Reinforcement Learning,2022,ICML,"In APP: Language, Speech and Dialog",Fei Huang · Tianhua Tao · Hao Zhou · Lei Li · Minlie Huang,reinforcement learning
65,On the Learning of Non-Autoregressive Transformers,2022,ICML,In Transfer/Multitask/Meta Learning,Tung Nguyen · Aditya Grover,transformer
66,Transformer Neural Processes: Uncertainty-Aware Meta Learning Via Sequence Modeling,2022,ICML,In Deep Learning,Shiyong Lan · Yitong Ma · Weikang Huang · Wenwu Wang · Hongyu Yang · pyang li,transformer/meta-learning
67,DSTAGNN: Dynamic Spatial-Temporal Aware Graph Neural Network for Traffic Flow Forecasting,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Tomasz Korbak · Hady Elsahar · Germán Kruszewski · Marc Dymetman,graph/zero_few-shot/flow
68,Controlling Conditional Language Models without Catastrophic Forgetting,2022,ICML,In Session 1 Track 10,Alexander Nichol · Prafulla Dhariwal · Aditya Ramesh · Pranav Shyam · Pamela Mishkin · Bob McGrew · Ilya Sutskever · Mark Chen,
69,GLIDE: Towards Photorealistic Image Generation and Editing with Text-Guided Diffusion Models,2022,ICML,In Session 1 Track 8,Haoqing Xu · Meng Wang · Beilun Wang,generative model/diffusion models
70,A Difference Standardization Method for Mutual Transfer Learning,2022,ICML,In Session 1 Track 3,Yonathan Efroni · Chi Jin · Akshay Krishnamurthy · Sobhan Miryoosefi,transfer learning
71,Provable Reinforcement Learning with a Short-Term Memory,2022,ICML,In Deep Learning,Tianlong Chen · Xuxi Chen · Xiaolong Ma · Yanzhi Wang · Zhangyang “Atlas” Wang,reinforcement learning
72,Coarsening the Granularity: Towards Structurally Sparse Lottery Tickets,2022,ICML,In Social Aspects,Sooyong Jang · Sangdon Park · Insup Lee · Osbert Bastani,sparse
73,Sequential Covariate Shift Detection Using Classifier Two-Sample Tests,2022,ICML,"In APP: Language, Speech and Dialog",Peiyu Yu · Sirui Xie · Xiaojian Ma · Baoxiong Jia · Bo Pang · Ruiqi Gao · Yixin Zhu · Song-Chun Zhu · Ying Nian Wu,
74,Latent Diffusion Energy-Based Model for Interpretable Text Modelling,2022,ICML,In Optimization: Convex,Aaron Mishkin · Arda Sahiner · Mert Pilanci,
75,Fast Convex Optimization for Two-Layer ReLU Networks: Equivalent Model Classes and Cone Decompositions,2022,ICML,In Theory: Online Learning/Bandits,Vidyashankar Sivakumar · Shiliang Zuo · Arindam Banerjee,optimization
76,Smoothed Adversarial Linear Contextual Bandits with Knapsacks,2022,ICML,In Probabilistic Methods/Applications,Changwoo Lee · Huiyan Sang,
77,Why the Rich Get Richer? On the Balancedness of Random Partition Models,2022,ICML,In Deep Learning: Robustness,Haoran You · Baopu Li · Shi Huihong · Yonggan Fu · Yingyan Lin,
78,ShiftAddNAS: Hardware-Inspired Search for More Accurate and Efficient Neural Networks,2022,ICML,"In APP: Language, Speech and Dialog",Aaron Chan · Maziar Sanjabi · Lambert Mathias · Liang Tan · Shaoliang Nie · Xiaochang Peng · Xiang Ren · Hamed Firooz,
79,UNIREX: A Unified Learning Framework for Language Model Rationale Extraction,2022,ICML,In Reinforcement Learning,Lucas N. Alegre · Ana Lucia Cetertich Bazzan · Bruno C. da Silva,
80,Optimistic Linear Support and Successor Features as a Basis for Optimal Policy Transfer,2022,ICML,In Deep Learning: Generative Models/Autoencoders,Jeremiah Birrell · Markos Katsoulakis · Luc Rey-Bellet · Wei Zhu,transfer learning
