Title,Year,Source,Authors,Class,topic
Machine Learning for Addressing Power Grid Congestion,2021,ICML,Christopher Davis,Expo Workshop,
High-Quality Data Labeling at Scale with Toloka,2021,ICML,Olga Megorskaya · Saiph Savage · Omar Alonso · Daria Baidakova · Dmitry Ustalov · Vladimir Losev · Oleg Pavlov · Kate Saenko,Expo Workshop,
Real World RL: Azure Personalizer & Vowpal Wabbit,2021,ICML,Sheetal Lahabar · Etienne Kintzler · Mark Rucker · Bogdan Mazoure · Qingyun Wu · Pavithra Srinath · Jack Gerrits · Olga Vrousgou · John Langford · Eduardo Salinas,Expo Talk Panel,
The latest advances and use-cases in the field of Causal AI,2021,ICML,Darko Matovski · Alejandro Ortega Ancel,Expo Talk Panel,
"Unique Research Opportunities in AI Algorithms, Health, Traffic, and Weather",2021,ICML,Johannes Brandstetter · Sepp Hochreiter · Michael Kopp · David P Kreil · Alina Mihai,Expo Talk Panel,
Cool Moves: Decoupling physical motions and self-avatar motions in Virtual Reality,2021,ICML,Eyal Ofek,Expo Demonstration,
Neural Video Codec Demo,2021,ICML,Ron Tindall,Expo Talk Panel,
IBM Analog Hardware Acceleration Kit,2021,ICML,Kaoutar El Maghraoui · Malte J Rasch,Expo Talk Panel,
"Enterprise-Strength Federated Learning: New Algorithms, New Paradigms, and a Participant-Interactive Demonstration Session",2021,ICML,L W · Nathalie Baracaldo · Chaitanya Kumar · Parijat Dube · Mikhail Yurochkin · Theodoros Salonidis · Shiqiang Wang,Expo Workshop,active learning/federated learning
PaddlePaddle-based Deep Learning at Baidu,2021,ICML,Dejing Dou · Chenxia Li · Teng Xi · Dingfu Zhou · Tianyi Wu · Xuhong Li · Zhengjie Huang · Guocheng Niu · Ji Liu · Yaqing Wang · Xin Wang · Qianwei Cai,Expo Talk Panel,
Graviti Open Datasets: A peek into the future of Open Data,2021,ICML,Yunkai Cui · Junbo Zhao,Expo Demonstration,
Explainable Entity Matching for Master Data Management,2021,ICML,Balaji Ganesan · Soma Shekar Naganna,Social,
Queer in AI Social: AI for Biodiversity,2021,ICML,Vishakha Agrawal · Sara Beery,Affinity Workshop,
LatinX in AI (LXAI) Research at ICML 2021,2021,ICML,Maria Luisa Santiago · Miguel Alonso Jr · Laura Montoya · William Berrios · Fiorela Manco Fernández · Diana Diaz · Vinicius Caridá · LOURDES RAMIREZ CERNA · Pedro Braga · Gabriel Ramos · Leonel Rozo · Walter Mayor · Vanessa Gilede · Dennis Hernando Núñez Fernández · Erick Mendez Guzman · Paola Cascante-Bonilla,Tutorial,
Natural-XAI: Explainable AI with Natural Language Explanations,2021,ICML,Oana-Maria Camburu · Zeynep Akata,[],
Sparsity in Deep Learning: Pruning and growth for efficient inference and training,2021,ICML,Torsten Hoefler · Dan Alistarh,Tutorial,inference
"Synthetic Healthcare Data Generation and Assessment: Challenges, Methods, and Impact on Machine Learning",2021,ICML,Ahmed M. Alaa · Mihaela van der Schaar,Tutorial,generative model
From ML research to ML products: A path towards building models with real-world impact,2021,ICML,Gholamreza Salimi-Khorshidi · Peyman Faratin,Tutorial,
Continual Learning with Deep Architectures,2021,ICML,Vincenzo Lomonaco · Irina Rish,[],
Responsible AI in Industry: Practical Challenges and Lessons Learned,2021,ICML,Krishnaram Kenthapadi · Ben Packer · Mehrnoosh Sameki · Nashlie Sephus,[],
Online and non-stochastic control,2021,ICML,Elad Hazan · Karan Singh,[],online learning
Unsupervised Learning for Reinforcement Learning,2021,ICML,Aravind Srinivas · Pieter Abbeel,[],reinforcement learning
Social Implications of Large Language Models,2021,ICML,Hal Daume · Kate Crawford,Tutorial,
Random Matrix Theory and ML (RMT+ML),2021,ICML,Fabian Pedregosa · Courtney Paquette · Thomas Trogdon · Jeffrey Pennington,[],
LatinX in AI Social,2021,ICML,Maria Luisa Santiago · Miguel Alonso Jr · William Berrios,Affinity Poster Session,
"LatinX in AI, Queer in AI, WiML - Joint Poster Session",2021,ICML,[],Tutorial,
Privacy in learning: Basics and the interplay,2021,ICML,Huishuai Zhang · Wei Chen,[],
Self-Attention for Computer Vision,2021,ICML,Aravind Srinivas · Prajit Ramachandran · Ashish Vaswani,[],transformer
Phasic Policy Gradient,2021,ICML,In Deep Reinforcement Learning 1,Karl Cobbe · Jacob Hilton · Oleg Klimov · John Schulman,
Relative Positional Encoding for Transformers with Linear Complexity,2021,ICML,In Deep Learning Architectures,Antoine Liutkus · Ondřej Cífka · Shih-Lun Wu · Umut Simsekli · Yi-Hsuan Yang · Gaël RICHARD,transformer
Scalable Computations of Wasserstein Barycenter via Input Convex Neural Networks,2021,ICML,In Optimal Transport,Jiaojiao Fan · Amirhossein Taghvaei · Yongxin Chen,
Optimal Complexity in Decentralized Training,2021,ICML,In Optimization (Distributed),Yucheng Lu · Christopher De Sa,
Size-Invariant Graph Representations for Graph Classification Extrapolations,2021,ICML,In Graph Learning,Beatrice Bevilacqua · Yangze Zhou · Bruno Ribeiro,graph/representation
