title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Unifying Graph Convolutional Neural Networks and Label Propagation,2021,ICLR,"['Hongwei Wang', 'Jure Leskovec']",poster,"['graph convolutional neural networks', 'label propagation', 'semi-supervised node classification']","Label Propagation (LPA) and Graph Convolutional Neural Networks (GCN) are both message passing algorithms on graphs. Both solve the task of node classification but LPA propagates node label information across the edges of the graph, while GCN propagates and transforms node feature information. However, while conceptually similar, it is unclear how LPA and GCN can be combined under a unified framework to improve node classification. Here we study the relationship between LPA and GCN in terms of feature/label influence, in which we characterize how much the initial feature/label of one node influences the final feature/label of another node in GCN/LPA. Based on our theoretical analysis, we propose an end-to-end model that combines GCN and LPA. In our unified model, edge weights are learnable, and the LPA serves as regularization to assist the GCN in learning proper edge weights that lead to improved classification performance. Our model can also be seen as learning the weights for edges based on node labels, which is more task-oriented than existing feature-based attention models and topology-based diffusion models. In a number of experiments on real-world graphs, our model shows superiority over state-of-the-art graph neural networks in terms of node classification accuracy.",/pdf/c87b8a8d5bd52b657693e324583e35898d09f617.pdf,graph;transformer;diffusion models,https://scholar.google.com/scholar?q=Unifying+Graph+Convolutional+Neural+Networks+and+Label+Propagation
DiffWave: A Versatile Diffusion Model for Audio Synthesis,2021,ICLR,"['Zhifeng Kong', 'Wei Ping', 'Jiaji Huang', 'Kexin Zhao', 'Bryan Catanzaro']",poster,"['diffusion probabilistic models', 'audio synthesis', 'speech synthesis', 'generative models']","In this work, we propose DiffWave, a versatile diffusion probabilistic model for conditional and unconditional waveform generation. The model is non-autoregressive, and converts the white noise signal into structured waveform through a Markov chain with a constant number of steps at synthesis. It is efficiently trained by optimizing a variant of variational bound on the data likelihood. DiffWave produces high-fidelity audios in different waveform generation tasks, including neural vocoding conditioned on mel spectrogram, class-conditional generation, and unconditional generation. We demonstrate that DiffWave matches a strong WaveNet vocoder in terms of speech quality (MOS: 4.44 versus 4.43), while synthesizing orders of magnitude faster. In particular, it significantly outperforms autoregressive and GAN-based waveform models in the challenging unconditional generation task in terms of audio quality and sample diversity from various automatic and human evaluations.",/pdf/d27840fc3a835c4da4a9d13c4227c7a0d8a9b3c5.pdf,graph;generative model;diffusion models,https://scholar.google.com/scholar?q=DiffWave:+A+Versatile+Diffusion+Model+for+Audio+Synthesis
Improved Denoising Diffusion Probabilistic Models,2021,ICLR,"['Alexander Quinn Nichol', 'Prafulla Dhariwal']",poster,"['neural networks', 'generative models', 'log-likelihood', 'diffusion models', 'denoising diffusion probabilistic models', 'image generation']","We explore denoising diffusion probabilistic models, a class of generative models which have recently been shown to produce excellent samples in the image and audio domains. While these models produce excellent samples, it has yet to be shown that they can achieve competitive log-likelihoods. We show that, with several small modifications, diffusion models can achieve competitive log-likelihoods in the image domain while maintaining high sample quality. Additionally, our models allow for sampling with an order of magnitude fewer diffusion steps with only a modest difference in sample quality. Finally, we explore how sample quality and log-likelihood scale with the number of diffusion steps and the amount of model capacity. We conclude that denoising diffusion probabilistic models are a promising class of generative models with excellent scaling properties and sample quality.",/pdf/fa8f0835a611b1883d6159ceb872a40790c65408.pdf,zero_few-shot;transformer;generative model;diffusion models,https://scholar.google.com/scholar?q=Improved+Denoising+Diffusion+Probabilistic+Models
Variational Diffusion Models,2021,NIPS,"['Diederik P Kingma', 'Tim Salimans', 'Ben Poole', 'Jonathan Ho']",poster,"['Diffusion Models', 'Generative Models', 'Density Estimation']","Diffusion-based generative models have demonstrated a capacity for perceptually impressive synthesis, but can they also be great likelihood-based models? We answer this in the affirmative, and introduce a family of diffusion-based generative models that obtain state-of-the-art likelihoods on standard image density estimation benchmarks. Unlike other diffusion-based models, our method allows for efficient optimization of the noise schedule jointly with the rest of the model. We show that the variational lower bound (VLB) simplifies to a remarkably short expression in terms of the signal-to-noise ratio of the diffused data, thereby improving our theoretical understanding of this model class. Using this insight, we prove an equivalence between several models proposed in the literature. In addition, we show that the continuous-time VLB is invariant to the noise schedule, except for the signal-to-noise ratio at its endpoints. This enables us to learn a noise schedule that minimizes the variance of the resulting VLB estimator, leading to faster optimization. Combining these advances with architectural improvements, we obtain state-of-the-art likelihoods on image density estimation benchmarks, outperforming autoregressive models that have dominated these benchmarks for many years, with often significantly faster optimization. In addition, we show how to use the model as part of a bits-back compression scheme, and demonstrate lossless compression rates close to the theoretical optimum.",https://api.openreview.net/pdf/d78a8632e42c43b39dfca68d20e6297c6f420c44.pdf,optimization;zero_few-shot;generative model;diffusion models,https://scholar.google.com/scholar?q=Variational+Diffusion+Models
D2C: Diffusion-Decoding Models for Few-Shot Conditional Generation,2021,NIPS,"['Abhishek Sinha', 'Jiaming Song', 'Chenlin Meng', 'Stefano Ermon']",poster,['generative models'],"Conditional generative models of high-dimensional images have many applications, but supervision signals from conditions to images can be expensive to acquire. This paper describes Diffusion-Decoding models with Contrastive representations (D2C), a paradigm for training unconditional variational autoencoders (VAE) for few-shot conditional image generation. D2C uses a learned diffusion-based prior over the latent representations to improve generation and contrastive self-supervised learning to improve representation quality. D2C can adapt to novel generation tasks, conditioned on labels or manipulation constraints, by learning from as few as 100 labeled examples. On conditional generation from new labels, D2C achieves superior performance over state-of-the-art VAEs and diffusion models. On conditional image manipulation, D2C generations are two orders of magnitude faster to produce over StyleGAN2 ones and are preferred by 50% - 60% of the human evaluators in a double-blind study. We release our code at https://github.com/jiamings/d2c.",https://api.openreview.net/pdf/b5d48c3e6432212d5ca261b4bea43ad8d6eb63fe.pdf,optimization;zero_few-shot;representation;vae;generative model;contrastive learning;diffusion models,https://scholar.google.com/scholar?q=D2C:+Diffusion-Decoding+Models+for+Few-Shot+Conditional+Generation
Structured Denoising Diffusion Models in Discrete State-Spaces,2021,NIPS,"['Jacob Austin', 'Daniel D. Johnson', 'Jonathan Ho', 'Daniel Tarlow', 'Rianne van den Berg']",poster,"['diffusion models', 'generative models', 'text generation', 'probabilistic models']","Denoising diffusion probabilistic models (DDPMs) [Ho et al. 2021] have shown impressive results on image and waveform generation in continuous state spaces. Here, we introduce Discrete Denoising Diffusion Probabilistic Models (D3PMs), diffusion-like generative models for discrete data that generalize the multinomial diffusion model of Hoogeboom et al. [2021], by going beyond corruption processes with uniform transition probabilities. This includes corruption with transition matrices that mimic Gaussian kernels in continuous space, matrices based on nearest neighbors in embedding space, and matrices that introduce absorbing states. The third allows us to draw a connection between diffusion models and autoregressive and mask-based generative models. We show that the choice of transition matrix is an important design decision that leads to improved results in image and text domains. We also introduce a new loss function that combines the variational lower bound with an auxiliary cross entropy loss.  For text, this model class achieves strong results on character-level text generation while scaling to large vocabularies on LM1B. On the image dataset CIFAR-10, our models approach the sample quality and exceed the log-likelihood of the continuous-space DDPM model.",https://api.openreview.net/pdf/bfc46a732decab8f9cdfbc9eaaffdbc7d55b31e2.pdf,zero_few-shot;transformer;generative model;diffusion models,https://scholar.google.com/scholar?q=Structured+Denoising+Diffusion+Models+in+Discrete+State-Spaces
CSDI: Conditional Score-based Diffusion Models for Probabilistic Time Series Imputation,2021,NIPS,"['YUSUKE TASHIRO', 'Jiaming Song', 'Yang Song', 'Stefano Ermon']",poster,"['time series imputation', 'generative modeling', 'deep learning', 'score-based diffusion models']","The imputation of missing values in time series has many applications in healthcare and finance. While autoregressive models are natural candidates for time series imputation, score-based diffusion models have recently outperformed existing counterparts including autoregressive models in many tasks such as image generation and audio synthesis, and would be promising for time series imputation. In this paper, we propose Conditional Score-based Diffusion model (CSDI), a novel time series imputation method that utilizes score-based diffusion models conditioned on observed data. Unlike existing score-based approaches, the conditional diffusion model is explicitly trained for imputation and can exploit correlations between observed values. On healthcare and environmental data, CSDI improves by 40-65% over existing probabilistic imputation methods on popular performance metrics. In addition, deterministic imputation by CSDI reduces the error by 5-20% compared to the state-of-the-art deterministic imputation methods. Furthermore, CSDI can also be applied to time series interpolation and probabilistic forecasting, and is competitive with existing baselines. The code is available at https://github.com/ermongroup/CSDI.",https://api.openreview.net/pdf/0ae3d2f98f55676a534b11240f6e80335b7bc58e.pdf,generative model;metric;diffusion models,https://scholar.google.com/scholar?q=CSDI:+Conditional+Score-based+Diffusion+Models+for+Probabilistic+Time+Series+Imputation
Diffusion Models Beat GANs on Image Synthesis,2021,NIPS,"['Prafulla Dhariwal', 'Alexander Quinn Nichol']",spotlight,"['generative models', 'diffusion models', 'score-based models', 'denoising diffusion probabilistic models', 'image generation', 'neural networks', 'attention']","We show that diffusion models can achieve image sample quality superior to the current state-of-the-art generative models. We achieve this on unconditional image synthesis by finding a better architecture through a series of ablations. For conditional image synthesis, we further improve sample quality with classifier guidance: a simple, compute-efficient method for trading off diversity for fidelity using gradients from a classifier. We achieve an FID of 2.97 on ImageNet 128$\times$128, 4.59 on ImageNet 256$\times$256, and 7.72 on ImageNet 512$\times$512, and we match BigGAN-deep even with as few as 25 forward passes per sample, all while maintaining better coverage of the distribution. Finally, we find that classifier guidance combines well with upsampling diffusion models, further improving FID to 3.94 on ImageNet 256$\times$256 and 3.85 on ImageNet 512$\times$512.",https://api.openreview.net/pdf/fac47484c51c0a9ca609c04dfef93927c49cea18.pdf,generative model;diffusion models,https://scholar.google.com/scholar?q=Diffusion+Models+Beat+GANs+on+Image+Synthesis
Maximum Likelihood Training of Score-Based Diffusion Models,2021,NIPS,"['Yang Song', 'Conor Durkan', 'Iain Murray', 'Stefano Ermon']",spotlight,"['generative models', 'density estimation', 'score matching', 'score-based generative models', 'diffusion models', 'stochastic differential equations', 'normalizing flows', 'neural ODEs', 'likelihood', 'continuous normalizing flows']","Score-based diffusion models synthesize samples by reversing a stochastic process that diffuses data to noise, and are trained by minimizing a weighted combination of score matching losses. The log-likelihood of score-based diffusion models can be tractably computed through a connection to continuous normalizing flows, but log-likelihood is not directly optimized by the weighted combination of score matching losses. We show that for a specific weighting scheme, the objective upper bounds the negative log-likelihood, thus enabling approximate maximum likelihood training of score-based diffusion models. We empirically observe that maximum likelihood training consistently improves the likelihood of score-based diffusion models across multiple datasets, stochastic processes, and model architectures. Our best models achieve negative log-likelihoods of 2.83 and 3.76 bits/dim on CIFAR-10 and ImageNet $32\times 32$ without any data augmentation, on a par with state-of-the-art autoregressive models on these tasks. ",https://api.openreview.net/pdf/756ca91c16908b457e64e0f988e3fb8c54fc9f6e.pdf,zero_few-shot;flow;augmentation;diffusion models,https://scholar.google.com/scholar?q=Maximum+Likelihood+Training+of+Score-Based+Diffusion+Models
Argmax Flows and Multinomial Diffusion: Learning Categorical Distributions,2021,NIPS,"['Emiel Hoogeboom', 'Didrik Nielsen', 'Priyank Jaini', 'Patrick Forré', 'Max Welling']",poster,"['categorical', 'normalizing flows', 'diffusion']","Generative flows and diffusion models have been predominantly trained on ordinal data, for example natural images. This paper introduces two extensions of flows and diffusion for categorical data such as language or image segmentation: Argmax Flows and Multinomial Diffusion. Argmax Flows are defined by a composition of a continuous distribution (such as a normalizing flow), and an argmax function. To optimize this model, we learn a probabilistic inverse for the argmax that lifts the categorical data to a continuous space. Multinomial Diffusion gradually adds categorical noise in a diffusion process, for which the generative denoising process is learned. We demonstrate that our method outperforms existing dequantization approaches on text modelling and modelling on image segmentation maps in log-likelihood. ",https://api.openreview.net/pdf/67d22eeb9190dd02385704def81b849ee83b8b12.pdf,zero_few-shot;generative model;flow;segmentation;diffusion models,https://scholar.google.com/scholar?q=Argmax+Flows+and+Multinomial+Diffusion:+Learning+Categorical+Distributions
