title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Coarse-Fine Networks for Temporal Activity Detection in Videos,2021,CVPR,Kumara Kahatapitiya;Michael S. Ryoo,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Kahatapitiya_Coarse-Fine_Networks_for_Temporal_Activity_Detection_in_Videos_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=Coarse-Fine+Networks+for+Temporal+Activity+Detection+in+Videos
Globally Optimal Relative Pose Estimation With Gravity Prior,2021,CVPR,Yaqing Ding;Daniel Barath;Jian Yang;Hui Kong;Zuzana Kukelova,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Ding_Globally_Optimal_Relative_Pose_Estimation_With_Gravity_Prior_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=Globally+Optimal+Relative+Pose+Estimation+With+Gravity+Prior
Repetitive Activity Counting by Sight and Sound,2021,CVPR,Yunhua Zhang;Ling Shao;Cees G. M. Snoek,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_Repetitive_Activity_Counting_by_Sight_and_Sound_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=Repetitive+Activity+Counting+by+Sight+and+Sound
VITON-HD: High-Resolution Virtual Try-On via Misalignment-Aware Normalization,2021,CVPR,Seunghwan Choi;Sunghyun Park;Minsoo Lee;Jaegul Choo,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Choi_VITON-HD_High-Resolution_Virtual_Try-On_via_Misalignment-Aware_Normalization_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=VITON-HD:+High-Resolution+Virtual+Try-On+via+Misalignment-Aware+Normalization
Multi-Label Activity Recognition Using Activity-Specific Features and Activity Correlations,2021,CVPR,Yanyi Zhang;Xinyu Li;Ivan Marsic,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhang_Multi-Label_Activity_Recognition_Using_Activity-Specific_Features_and_Activity_Correlations_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=Multi-Label+Activity+Recognition+Using+Activity-Specific+Features+and+Activity+Correlations
Joint Deep Model-Based MR Image and Coil Sensitivity Reconstruction Network (Joint-ICNet) for Fast MRI,2021,CVPR,Yohan Jun;Hyungseob Shin;Taejoon Eo;Dosik Hwang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Jun_Joint_Deep_Model-Based_MR_Image_and_Coil_Sensitivity_Reconstruction_Network_CVPR_2021_paper.pdf,llm,https://scholar.google.com/scholar?q=Joint+Deep+Model-Based+MR+Image+and+Coil+Sensitivity+Reconstruction+Network+(Joint-ICNet)+for+Fast+MRI
Dataset Curation Beyond Accuracy,2021,ICLR,"['Johan Bjorck', 'Carla P Gomes']",poster,"['crowd-sourcing', 'calibration', 'dataset', 'uncertainty']","Neural networks are known to be data-hungry, and collecting large labeled datasets is often a crucial step in deep learning deployment. Researchers have studied dataset aspects such as distributional shift and labeling cost, primarily using downstream prediction accuracy for evaluation. In sensitive real-world applications such as medicine and self-driving cars, not only is the accuracy important, but also the calibration -- the extent that model uncertainty reflects the actual correctness likelihood. It has recently been shown that modern neural networks are ill-calibrated. In this work, we take a complementary approach -- studying how dataset properties, rather than architecture, affects calibration. For the common issue of dataset imbalance, we show that calibration varies significantly among classes, even when common strategies to mitigate class imbalance are employed. We also study the effects of label quality, showing how label noise dramatically increases calibration error. Furthermore, poor calibration can come from small dataset sizes, which we motive via results on network expressivity. Our experiments demonstrate that dataset properties can significantly affect calibration and suggest that calibration should be measured during dataset curation.",/pdf/19547af72952e4c1e55f808961f95c872390e5fb.pdf,llm,https://scholar.google.com/scholar?q=Dataset+Curation+Beyond+Accuracy
"With False Friends Like These, Who Can Have Self-Knowledge?",2021,ICLR,"['Lue Tao', 'Songcan Chen']",poster,"['Robustness', 'Adversarial Risk', 'Neural Networks', 'Machine Learning Security']","Adversarial examples arise from excessive sensitivity of a model. Commonly studied adversarial examples are malicious inputs, crafted by an adversary from correctly classified examples, to induce misclassification. This paper studies an intriguing, yet far overlooked consequence of the excessive sensitivity, that is, a misclassified example can be easily perturbed to help the model to produce correct output. Such perturbed examples look harmless, but actually can be maliciously utilized by a false friend to make the model self-satisfied. Thus we name them hypocritical examples. With false friends like these, a poorly performed model could behave like a state-of-the-art one. Once a deployer trusts the hypocritical performance and uses the ""well-performed"" model in real-world applications, potential security concerns appear even in benign environments. In this paper, we formalize the hypocritical risk for the first time and propose a defense method specialized for hypocritical examples by minimizing the tradeoff between natural risk and an upper bound of hypocritical risk. Moreover, our theoretical analysis reveals connections between adversarial risk and hypocritical risk. Extensive experiments verify the theoretical results and the effectiveness of our proposed methods.",/pdf/a5829dd51dc29c9441bd1979f9fb1a8dc004a99a.pdf,llm,"https://scholar.google.com/scholar?q=With+False+Friends+Like+These,+Who+Can+Have+Self-Knowledge?"
"Laplacian Eigenspaces, Horocycles and Neuron Models on Hyperbolic Spaces",2021,ICLR,['Ming-Xi Wang'],poster,"['hyperbolic learning', 'hyperbolic neural network', 'Poincare embedding']","We use hyperbolic Poisson kernel to construct the horocycle neuron model on hyperbolic spaces, which is a spectral generalization of the classical neuron model. We prove a universal approximation theorem for horocycle neurons. As a corollary, this theorem leads to a state-of-the-art result on the expressivity of neurons of the hyperbolic MLR. Our experiments get state-of-the-art results on the Poincare-embedding tree classification task and the two-dimensional visualization of images.",/pdf/6980ca2ff050b0760638c7b77236e9e254bbf027.pdf,llm,"https://scholar.google.com/scholar?q=Laplacian+Eigenspaces,+Horocycles+and+Neuron+Models+on+Hyperbolic+Spaces"
Perceptual Adversarial Robustness: Defense Against Unseen Threat Models,2021,ICLR,"['Cassidy Laidlaw', 'Sahil Singla', 'Soheil Feizi']",poster,[],"A key challenge in adversarial robustness is the lack of a precise mathematical characterization of human perception, used in the definition of adversarial attacks that are imperceptible to human eyes. Most current attacks and defenses try to get around this issue by considering restrictive adversarial threat models such as those bounded by $L_2$ or $L_\infty$ distance, spatial perturbations, etc. However, models that are robust against any of these restrictive threat models are still fragile against other threat models, i.e. they have poor generalization to unforeseen attacks. Moreover, even if a model is robust against the union of several restrictive threat models, it is still susceptible to other imperceptible adversarial examples that are not contained in any of the constituent threat models. To resolve these issues, we propose adversarial training against the set of all imperceptible adversarial examples. Since this set is intractable to compute without a human in the loop, we approximate it using deep neural networks. We call this threat model the neural perceptual threat model (NPTM); it includes adversarial examples with a bounded neural perceptual distance (a neural network-based approximation of the true perceptual distance) to natural images. Through an extensive perceptual study, we show that the neural perceptual distance correlates well with human judgements of perceptibility of adversarial examples, validating our threat model.

Under the NPTM, we develop novel perceptual adversarial attacks and defenses. Because the NPTM is very broad, we find that Perceptual Adversarial Training (PAT) against a perceptual attack gives robustness against many other types of adversarial attacks. We test PAT on CIFAR-10 and ImageNet-100 against five diverse adversarial attacks: $L_2$, $L_\infty$, spatial, recoloring, and JPEG. We find that PAT achieves state-of-the-art robustness against the union of these five attacks—more than doubling the accuracy over the next best model—without training against any of them. That is, PAT generalizes well to unforeseen perturbation types. This is vital in sensitive applications where a particular threat model cannot be assumed, and to the best of our knowledge, PAT is the first adversarial training defense with this property.

Code and data are available at https://github.com/cassidylaidlaw/perceptual-advex",/pdf/eb768a2d394baa94aebe2efba341cc5a5244428d.pdf,llm,https://scholar.google.com/scholar?q=Perceptual+Adversarial+Robustness:+Defense+Against+Unseen+Threat+Models
