title,year,source,authors,class,keywords,abstract,pdf_link,topic,google_scholar_link
Pixel-Aligned Volumetric Avatars,2021,CVPR,Amit Raj;Michael Zollhofer;Tomas Simon;Jason Saragih;Shunsuke Saito;James Hays;Stephen Lombardi,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Raj_Pixel-Aligned_Volumetric_Avatars_CVPR_2021_paper.pdf,metric;multimodal,https://scholar.google.com/scholar?q=Pixel-Aligned+Volumetric+Avatars
UC2: Universal Cross-Lingual Cross-Modal Vision-and-Language Pre-Training,2021,CVPR,Mingyang Zhou;Luowei Zhou;Shuohang Wang;Yu Cheng;Linjie Li;Zhou Yu;Jingjing Liu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhou_UC2_Universal_Cross-Lingual_Cross-Modal_Vision-and-Language_Pre-Training_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=UC2:+Universal+Cross-Lingual+Cross-Modal+Vision-and-Language+Pre-Training
DRANet: Disentangling Representation and Adaptation Networks for Unsupervised Cross-Domain Adaptation,2021,CVPR,Seunghun Lee;Sunghyun Cho;Sunghoon Im,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Lee_DRANet_Disentangling_Representation_and_Adaptation_Networks_for_Unsupervised_Cross-Domain_Adaptation_CVPR_2021_paper.pdf,representation;multimodal,https://scholar.google.com/scholar?q=DRANet:+Disentangling+Representation+and+Adaptation+Networks+for+Unsupervised+Cross-Domain+Adaptation
Can Audio-Visual Integration Strengthen Robustness Under Multimodal Attacks?,2021,CVPR,Yapeng Tian;Chenliang Xu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Tian_Can_Audio-Visual_Integration_Strengthen_Robustness_Under_Multimodal_Attacks_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Can+Audio-Visual+Integration+Strengthen+Robustness+Under+Multimodal+Attacks?
Informative and Consistent Correspondence Mining for Cross-Domain Weakly Supervised Object Detection,2021,CVPR,Luwei Hou;Yu Zhang;Kui Fu;Jia Li,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Hou_Informative_and_Consistent_Correspondence_Mining_for_Cross-Domain_Weakly_Supervised_Object_CVPR_2021_paper.pdf,zero_few-shot;multimodal,https://scholar.google.com/scholar?q=Informative+and+Consistent+Correspondence+Mining+for+Cross-Domain+Weakly+Supervised+Object+Detection
Probabilistic Embeddings for Cross-Modal Retrieval,2021,CVPR,Sanghyuk Chun;Seong Joon Oh;Rafael Sampaio de Rezende;Yannis Kalantidis;Diane Larlus,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Chun_Probabilistic_Embeddings_for_Cross-Modal_Retrieval_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Probabilistic+Embeddings+for+Cross-Modal+Retrieval
Skeleton Merger: An Unsupervised Aligned Keypoint Detector,2021,CVPR,Ruoxi Shi;Zhengrong Xue;Yang You;Cewu Lu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Shi_Skeleton_Merger_An_Unsupervised_Aligned_Keypoint_Detector_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Skeleton+Merger:+An+Unsupervised+Aligned+Keypoint+Detector
Deep RGB-D Saliency Detection With Depth-Sensitive Attention and Automatic Multi-Modal Fusion,2021,CVPR,Peng Sun;Wenhu Zhang;Huanyu Wang;Songyuan Li;Xi Li,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Sun_Deep_RGB-D_Saliency_Detection_With_Depth-Sensitive_Attention_and_Automatic_Multi-Modal_CVPR_2021_paper.pdf,transformer;multimodal,https://scholar.google.com/scholar?q=Deep+RGB-D+Saliency+Detection+With+Depth-Sensitive+Attention+and+Automatic+Multi-Modal+Fusion
Farewell to Mutual Information: Variational Distillation for Cross-Modal Person Re-Identification,2021,CVPR,Xudong Tian;Zhizhong Zhang;Shaohui Lin;Yanyun Qu;Yuan Xie;Lizhuang Ma,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Tian_Farewell_to_Mutual_Information_Variational_Distillation_for_Cross-Modal_Person_Re-Identification_CVPR_2021_paper.pdf,distillation;multimodal,https://scholar.google.com/scholar?q=Farewell+to+Mutual+Information:+Variational+Distillation+for+Cross-Modal+Person+Re-Identification
ChallenCap: Monocular 3D Capture of Challenging Human Performances Using Multi-Modal References,2021,CVPR,Yannan He;Anqi Pang;Xin Chen;Han Liang;Minye Wu;Yuexin Ma;Lan Xu,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/He_ChallenCap_Monocular_3D_Capture_of_Challenging_Human_Performances_Using_Multi-Modal_CVPR_2021_paper.pdf,graph;multimodal;3d,https://scholar.google.com/scholar?q=ChallenCap:+Monocular+3D+Capture+of+Challenging+Human+Performances+Using+Multi-Modal+References
Prototypical Cross-Domain Self-Supervised Learning for Few-Shot Unsupervised Domain Adaptation,2021,CVPR,Xiangyu Yue;Zangwei Zheng;Shanghang Zhang;Yang Gao;Trevor Darrell;Kurt Keutzer;Alberto Sangiovanni Vincentelli,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Yue_Prototypical_Cross-Domain_Self-Supervised_Learning_for_Few-Shot_Unsupervised_Domain_Adaptation_CVPR_2021_paper.pdf,zero_few-shot;multimodal,https://scholar.google.com/scholar?q=Prototypical+Cross-Domain+Self-Supervised+Learning+for+Few-Shot+Unsupervised+Domain+Adaptation
Deep Lucas-Kanade Homography for Multimodal Image Alignment,2021,CVPR,Yiming Zhao;Xinming Huang;Ziming Zhang,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zhao_Deep_Lucas-Kanade_Homography_for_Multimodal_Image_Alignment_CVPR_2021_paper.pdf,graph;multimodal,https://scholar.google.com/scholar?q=Deep+Lucas-Kanade+Homography+for+Multimodal+Image+Alignment
Audio-Visual Instance Discrimination with Cross-Modal Agreement,2021,CVPR,Pedro Morgado;Nuno Vasconcelos;Ishan Misra,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Morgado_Audio-Visual_Instance_Discrimination_with_Cross-Modal_Agreement_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Audio-Visual+Instance+Discrimination+with+Cross-Modal+Agreement
Vx2Text: End-to-End Learning of Video-Based Text Generation From Multimodal Inputs,2021,CVPR,Xudong Lin;Gedas Bertasius;Jue Wang;Shih-Fu Chang;Devi Parikh;Lorenzo Torresani,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Lin_Vx2Text_End-to-End_Learning_of_Video-Based_Text_Generation_From_Multimodal_Inputs_CVPR_2021_paper.pdf,generative model;multimodal,https://scholar.google.com/scholar?q=Vx2Text:+End-to-End+Learning+of+Video-Based+Text+Generation+From+Multimodal+Inputs
Multi-Modal Relational Graph for Cross-Modal Video Moment Retrieval,2021,CVPR,Yawen Zeng;Da Cao;Xiaochi Wei;Meng Liu;Zhou Zhao;Zheng Qin,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Zeng_Multi-Modal_Relational_Graph_for_Cross-Modal_Video_Moment_Retrieval_CVPR_2021_paper.pdf,graph;multimodal,https://scholar.google.com/scholar?q=Multi-Modal+Relational+Graph+for+Cross-Modal+Video+Moment+Retrieval
Cross-Domain Similarity Learning for Face Recognition in Unseen Domains,2021,CVPR,Masoud Faraki;Xiang Yu;Yi-Hsuan Tsai;Yumin Suh;Manmohan Chandraker,,,,https://openaccess.thecvf.com/content/CVPR2021/papers/Faraki_Cross-Domain_Similarity_Learning_for_Face_Recognition_in_Unseen_Domains_CVPR_2021_paper.pdf,multimodal,https://scholar.google.com/scholar?q=Cross-Domain+Similarity+Learning+for+Face+Recognition+in+Unseen+Domains
